Agency,Region,Position Title,Plantilla,Posting Date,Closing Date,Details
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT,Region XI,Planning Officer IV,OSEC-DSWDB-PLO4-41-2015,23 Jun 2023,05 Jul 2023,https://csc.gov.ph/career/job/3263915
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT,Region XI,Social Welfare Assistant,OSEC-DSWDB-SOCWAS-376-2004,23 Jun 2023,05 Jul 2023,https://csc.gov.ph/career/job/3263916
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT,Region XI,Administrative Aide IV (Clerk II),OSEC-DSWDB-ADA4-795-2004,23 Jun 2023,05 Jul 2023,https://csc.gov.ph/career/job/3263917
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS,Region VI,Engineering Assistant (Draftsman II),OSEC-DPWHB-ENGAS-420046-2012,23 Jun 2023,03 Jul 2023,https://csc.gov.ph/career/job/3264092
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS,Region VI,Administrative Officer III (Supply Officer II),OSEC-DPWHB-ADOF3-420058-2012,23 Jun 2023,03 Jul 2023,https://csc.gov.ph/career/job/3264093
PGO NEGROS OCCIDENTAL,Region VI,Administrative Officer V (Administrative Officer III),2,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264166
PGO NEGROS OCCIDENTAL,Region VI,Pharmacist I,45,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264167
PGO NEGROS OCCIDENTAL,Region VI,Dental Aide,48,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264168
PGO NEGROS OCCIDENTAL,Region VI,Project Evaluation Officer III,21,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264169
PGO NEGROS OCCIDENTAL,Region VI,Project Development Officer III,30,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264170
PGO GUIMARAS,Region VI,Audio Visual Equipment Operator II,91,23 Jun 2023,07 Jul 2023,https://csc.gov.ph/career/job/3264200
PGO NEGROS OCCIDENTAL,Region VI,Administrative Aide IV (Clerk II),5,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264175
PGO NEGROS OCCIDENTAL,Region VI,Statistician I,26,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264174
PGO NEGROS OCCIDENTAL,Region VI,Project Development Officer I,34,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264173
PGO NEGROS OCCIDENTAL,Region VI,Project Development Officer II,32,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264172
PGO NEGROS OCCIDENTAL,Region VI,Administrative Officer V (Administrative Officer III),2,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264171
PGO NEGROS OCCIDENTAL,Region VI,Project Development Officer III,30,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264170
PGO NEGROS OCCIDENTAL,Region VI,Project Evaluation Officer III,21,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264169
PGO NEGROS OCCIDENTAL,Region VI,Dental Aide,48,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264168
PGO NEGROS OCCIDENTAL,Region VI,Pharmacist I,45,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264167
PGO NEGROS OCCIDENTAL,Region VI,Administrative Officer V (Administrative Officer III),2,23 Jun 2023,11 Jul 2023,https://csc.gov.ph/career/job/3264166
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS,Region VI,Administrative Officer III (Supply Officer II),OSEC-DPWHB-ADOF3-420058-2012,23 Jun 2023,03 Jul 2023,https://csc.gov.ph/career/job/3264093
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS,Region VI,Engineering Assistant (Draftsman II),OSEC-DPWHB-ENGAS-420046-2012,23 Jun 2023,03 Jul 2023,https://csc.gov.ph/career/job/3264092
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT,Region XI,Administrative Aide IV (Clerk II),OSEC-DSWDB-ADA4-795-2004,23 Jun 2023,05 Jul 2023,https://csc.gov.ph/career/job/3263917
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT,Region XI,Social Welfare Assistant,OSEC-DSWDB-SOCWAS-376-2004,23 Jun 2023,05 Jul 2023,https://csc.gov.ph/career/job/3263916
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT,Region XI,Planning Officer IV,OSEC-DSWDB-PLO4-41-2015,23 Jun 2023,05 Jul 2023,https://csc.gov.ph/career/job/3263915
"MGO LAKE SEBU, SOUTH COTABATO",Region XII,Local Legislative Staff Assistant I,100,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264780
CGO DAVAO,Region XI,ADMINISTRATIVE ASSISTANT III (Communications Equipment Operator III),84,22 Jun 2023,14 Jul 2023,https://csc.gov.ph/career/job/3264779
"CGO PANABO, DAVAO DEL NORTE",Region XI,Revenue Collection Clerk II,520,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264778
"CGO PANABO, DAVAO DEL NORTE",Region XI,Revenue Collection Clerk III,780,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264777
DEPARTMENT OF EDUCATION,Region VI,SCHOOL PRINCIPAL I,OSEC-DECSB-SP1-420932-2010,22 Jun 2023,02 Jul 2023,https://csc.gov.ph/career/job/3262446
DEPARTMENT OF EDUCATION,Region VI,SCHOOL PRINCIPAL I,OSEC-DECSB-SP1-420913-2010,22 Jun 2023,02 Jul 2023,https://csc.gov.ph/career/job/3262447
DEPARTMENT OF EDUCATION,Region VI,SCHOOL PRINCIPAL I,OSEC-DECSB-SP1-420930-2010,22 Jun 2023,02 Jul 2023,https://csc.gov.ph/career/job/3262448
DEPARTMENT OF EDUCATION,Region VI,SCHOOL PRINCIPAL I,OSEC-DECSB-SP1-420927-2010,22 Jun 2023,02 Jul 2023,https://csc.gov.ph/career/job/3262449
DEPARTMENT OF EDUCATION,Region VI,ASSISTANT SCHOOL PRINCIPAL II,OSEC-DECSB-ASP2-420377-2016,22 Jun 2023,02 Jul 2023,https://csc.gov.ph/career/job/3262450
DEPARTMENT OF EDUCATION,Region VI,ASSISTANT SCHOOL PRINCIPAL II,OSEC-DECSB-ASP2-420378-2016,22 Jun 2023,02 Jul 2023,https://csc.gov.ph/career/job/3262451
DEPARTMENT OF EDUCATION,Region VI,ASSISTANT SCHOOL PRINCIPAL II,OSEC-DECSB-ASP2-420379-2016,22 Jun 2023,02 Jul 2023,https://csc.gov.ph/career/job/3262452
DEPARTMENT OF EDUCATION,Region VI,TEACHER III (SECONDARY GRADES),OSEC-DECSB-TCH3-420028-2018,22 Jun 2023,02 Jul 2023,https://csc.gov.ph/career/job/3262453
DEPARTMENT OF EDUCATION,Region VI,TEACHER III (SECONDARY GRADES),OSEC-DECSB-TCH3-434500-1998,22 Jun 2023,02 Jul 2023,https://csc.gov.ph/career/job/3262454
CGO ILOILO CITY (CAPITAL),Region VI,Medical Technologist II,**244,22 Jun 2023,09 Jul 2023,https://csc.gov.ph/career/job/3262633
"CGO PANABO, DAVAO DEL NORTE",Region XI,Engineer I (Electrical Engineer),831,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264766
"CGO PANABO, DAVAO DEL NORTE",Region XI,Heavy Equipment Operator II,829,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264765
"CGO PANABO, DAVAO DEL NORTE",Region XI,Labor General Foreman,774,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264764
"CGO PANABO, DAVAO DEL NORTE",Region XI,Environmental Management Specialist I,773,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264763
"CGO PANABO, DAVAO DEL NORTE",Region XI,Computer Programmer I,828,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264762
"CGO PANABO, DAVAO DEL NORTE",Region XI,Aquaculturist II,410,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264761
"CGO PANABO, DAVAO DEL NORTE",Region XI,Aquaculturist I,826,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264760
"CGO PANABO, DAVAO DEL NORTE",Region XI,Senior Agriculturist,400,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264759
"CGO PANABO, DAVAO DEL NORTE",Region XI,Administrative Aide VI (Clerk III),396,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264758
"CGO PANABO, DAVAO DEL NORTE",Region XI,Computer Programmer I,623,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264757
CGO ILOILO CITY (CAPITAL),Region VI,Administrative Aide II (Messenger),*197,22 Jun 2023,09 Jul 2023,https://csc.gov.ph/career/job/3262644
CGO ILOILO CITY (CAPITAL),Region VI,Community Affairs Officer II,136,22 Jun 2023,09 Jul 2023,https://csc.gov.ph/career/job/3262645
CGO ILOILO CITY (CAPITAL),Region VI,Administrative Assistant III (Secretary II),34,22 Jun 2023,09 Jul 2023,https://csc.gov.ph/career/job/3262646
CGO ILOILO CITY (CAPITAL),Region VI,Administrative Aide IV (Clerk II),5,22 Jun 2023,09 Jul 2023,https://csc.gov.ph/career/job/3262648
CGO ILOILO CITY (CAPITAL),Region VI,Market Supervisor III,1,22 Jun 2023,09 Jul 2023,https://csc.gov.ph/career/job/3262647
CGO ILOILO CITY (CAPITAL),Region VI,Administrative Aide III (Utility Worker II),7,22 Jun 2023,09 Jul 2023,https://csc.gov.ph/career/job/3262649
CGO ILOILO CITY (CAPITAL),Region VI,City Population Officer,1,22 Jun 2023,09 Jul 2023,https://csc.gov.ph/career/job/3262650
CGO ILOILO CITY (CAPITAL),Region VI,Supervising Administrative Officer (Budget Officer IV),25,22 Jun 2023,09 Jul 2023,https://csc.gov.ph/career/job/3262660
DEPARTMENT OF EDUCATION,Region VI,Special Science Teacher I (Senior High School),OSEC-DECSB-SPST1-12-2018,22 Jun 2023,06 Jul 2023,https://csc.gov.ph/career/job/3262661
DEPARTMENT OF EDUCATION,Region VI,Teacher III (Elementary Grades),OSEC-DECSB-TCH3-431297-1998,22 Jun 2023,06 Jul 2023,https://csc.gov.ph/career/job/3262662
"CGO PANABO, DAVAO DEL NORTE",Region XI,Population Program Officer II,818,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264746
"CGO PANABO, DAVAO DEL NORTE",Region XI,Assistant Nutritionist-Dietitian,817,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264745
"CGO PANABO, DAVAO DEL NORTE",Region XI,Sanitation Inspector II,343,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264744
"CGO PANABO, DAVAO DEL NORTE",Region XI,Administrative Officer V (Administrative Officer III),696,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264743
"CGO PANABO, DAVAO DEL NORTE",Region XI,Legal Assistant I,609,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264742
"CGO PANABO, DAVAO DEL NORTE",Region XI,Attorney III,607,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264741
"CGO PANABO, DAVAO DEL NORTE",Region XI,Assessment Clerk III,304,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264740
"CGO PANABO, DAVAO DEL NORTE",Region XI,Assessment Clerk III,302,22 Jun 2023,10 Jul 2023,https://csc.gov.ph/career/job/3264739
